minecraft:missingno	x=68	y=0	w=16	h=16
minecraft:trims/entity/humanoid/raiser_trim_palette	x=648	y=216	w=64	h=32
minecraft:trims/entity/humanoid/rib_amethyst	x=648	y=252	w=64	h=32
minecraft:trims/entity/humanoid/rib_copper	x=648	y=288	w=64	h=32
minecraft:trims/entity/humanoid/rib_copper_darker	x=648	y=324	w=64	h=32
minecraft:trims/entity/humanoid/rib_diamond	x=648	y=360	w=64	h=32
minecraft:trims/entity/humanoid/rib_diamond_darker	x=648	y=396	w=64	h=32
minecraft:trims/entity/humanoid/rib_emerald	x=648	y=432	w=64	h=32
minecraft:trims/entity/humanoid/rib_gold	x=648	y=468	w=64	h=32
minecraft:trims/entity/humanoid/rib_gold_darker	x=716	y=0	w=64	h=32
minecraft:trims/entity/humanoid/rib_iron	x=716	y=36	w=64	h=32
minecraft:trims/entity/humanoid/rib_iron_darker	x=716	y=72	w=64	h=32
minecraft:trims/entity/humanoid/rib_lapis	x=716	y=108	w=64	h=32
minecraft:trims/entity/humanoid/rib_netherite	x=716	y=144	w=64	h=32
minecraft:trims/entity/humanoid/rib_netherite_darker	x=716	y=180	w=64	h=32
minecraft:trims/entity/humanoid/rib_quartz	x=716	y=216	w=64	h=32
minecraft:trims/entity/humanoid/rib_redstone	x=716	y=252	w=64	h=32
minecraft:trims/entity/humanoid/rib_resin	x=716	y=288	w=64	h=32
minecraft:trims/entity/humanoid/rib_trim_palette	x=716	y=324	w=64	h=32
minecraft:trims/entity/humanoid/sentry_amethyst	x=716	y=360	w=64	h=32
minecraft:trims/entity/humanoid/sentry_copper	x=716	y=396	w=64	h=32
minecraft:trims/entity/humanoid/sentry_copper_darker	x=716	y=432	w=64	h=32
minecraft:trims/entity/humanoid/sentry_diamond	x=716	y=468	w=64	h=32
minecraft:trims/entity/humanoid/sentry_diamond_darker	x=784	y=0	w=64	h=32
minecraft:trims/entity/humanoid/sentry_emerald	x=784	y=36	w=64	h=32
minecraft:trims/entity/humanoid/sentry_gold	x=784	y=72	w=64	h=32
minecraft:trims/entity/humanoid/sentry_gold_darker	x=784	y=108	w=64	h=32
minecraft:trims/entity/humanoid/sentry_iron	x=784	y=144	w=64	h=32
minecraft:trims/entity/humanoid/sentry_iron_darker	x=784	y=180	w=64	h=32
minecraft:trims/entity/humanoid/sentry_lapis	x=784	y=216	w=64	h=32
minecraft:trims/entity/humanoid/sentry_netherite	x=784	y=252	w=64	h=32
minecraft:trims/entity/humanoid/sentry_netherite_darker	x=784	y=288	w=64	h=32
minecraft:trims/entity/humanoid/sentry_quartz	x=784	y=324	w=64	h=32
minecraft:trims/entity/humanoid/sentry_redstone	x=784	y=360	w=64	h=32
minecraft:trims/entity/humanoid/sentry_resin	x=784	y=396	w=64	h=32
minecraft:trims/entity/humanoid/sentry_trim_palette	x=784	y=432	w=64	h=32
minecraft:trims/entity/humanoid/shaper_amethyst	x=784	y=468	w=64	h=32
minecraft:trims/entity/humanoid/shaper_copper	x=852	y=0	w=64	h=32
minecraft:trims/entity/humanoid/shaper_copper_darker	x=852	y=36	w=64	h=32
minecraft:trims/entity/humanoid/shaper_diamond	x=852	y=72	w=64	h=32
minecraft:trims/entity/humanoid/shaper_diamond_darker	x=852	y=108	w=64	h=32
minecraft:trims/entity/humanoid/shaper_emerald	x=852	y=144	w=64	h=32
minecraft:trims/entity/humanoid/shaper_gold	x=852	y=180	w=64	h=32
minecraft:trims/entity/humanoid/shaper_gold_darker	x=852	y=216	w=64	h=32
minecraft:trims/entity/humanoid/shaper_iron	x=852	y=252	w=64	h=32
minecraft:trims/entity/humanoid/shaper_iron_darker	x=852	y=288	w=64	h=32
minecraft:trims/entity/humanoid/shaper_lapis	x=852	y=324	w=64	h=32
minecraft:trims/entity/humanoid/shaper_netherite	x=852	y=360	w=64	h=32
minecraft:trims/entity/humanoid/shaper_netherite_darker	x=852	y=396	w=64	h=32
minecraft:trims/entity/humanoid/shaper_quartz	x=852	y=432	w=64	h=32
minecraft:trims/entity/humanoid/shaper_redstone	x=852	y=468	w=64	h=32
minecraft:trims/entity/humanoid/shaper_resin	x=920	y=0	w=64	h=32
minecraft:trims/entity/humanoid/shaper_trim_palette	x=920	y=36	w=64	h=32
minecraft:trims/entity/humanoid/silence_amethyst	x=920	y=72	w=64	h=32
minecraft:trims/entity/humanoid/silence_copper	x=920	y=108	w=64	h=32
minecraft:trims/entity/humanoid/silence_copper_darker	x=920	y=144	w=64	h=32
minecraft:trims/entity/humanoid/silence_diamond	x=920	y=180	w=64	h=32
minecraft:trims/entity/humanoid/silence_diamond_darker	x=920	y=216	w=64	h=32
minecraft:trims/entity/humanoid/silence_emerald	x=920	y=252	w=64	h=32
minecraft:trims/entity/humanoid/silence_gold	x=920	y=288	w=64	h=32
minecraft:trims/entity/humanoid/silence_gold_darker	x=920	y=324	w=64	h=32
minecraft:trims/entity/humanoid/silence_iron	x=920	y=360	w=64	h=32
minecraft:trims/entity/humanoid/silence_iron_darker	x=920	y=396	w=64	h=32
minecraft:trims/entity/humanoid/silence_lapis	x=920	y=432	w=64	h=32
minecraft:trims/entity/humanoid/silence_netherite	x=920	y=468	w=64	h=32
minecraft:trims/entity/humanoid/silence_netherite_darker	x=0	y=512	w=64	h=32
minecraft:trims/entity/humanoid/silence_quartz	x=68	y=512	w=64	h=32
minecraft:trims/entity/humanoid/silence_redstone	x=136	y=512	w=64	h=32
minecraft:trims/entity/humanoid/silence_resin	x=204	y=512	w=64	h=32
minecraft:trims/entity/humanoid/silence_trim_palette	x=272	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_amethyst	x=340	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_copper	x=408	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_copper_darker	x=476	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_diamond	x=544	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_diamond_darker	x=612	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_emerald	x=680	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_gold	x=748	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_gold_darker	x=816	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_iron	x=884	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_iron_darker	x=952	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_lapis	x=0	y=548	w=64	h=32
minecraft:trims/entity/humanoid/snout_netherite	x=68	y=548	w=64	h=32
minecraft:trims/entity/humanoid/snout_netherite_darker	x=136	y=548	w=64	h=32
minecraft:trims/entity/humanoid/snout_quartz	x=204	y=548	w=64	h=32
minecraft:trims/entity/humanoid/snout_redstone	x=272	y=548	w=64	h=32
minecraft:trims/entity/humanoid/snout_resin	x=340	y=548	w=64	h=32
minecraft:trims/entity/humanoid/snout_trim_palette	x=408	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_amethyst	x=476	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_copper	x=544	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_copper_darker	x=612	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_diamond	x=680	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_diamond_darker	x=748	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_emerald	x=816	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_gold	x=884	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_gold_darker	x=952	y=548	w=64	h=32
minecraft:trims/entity/humanoid/spire_iron	x=0	y=584	w=64	h=32
minecraft:trims/entity/humanoid/spire_iron_darker	x=68	y=584	w=64	h=32
minecraft:trims/entity/humanoid/spire_lapis	x=136	y=584	w=64	h=32
minecraft:trims/entity/humanoid/spire_netherite	x=204	y=584	w=64	h=32
minecraft:trims/entity/humanoid/spire_netherite_darker	x=272	y=584	w=64	h=32
minecraft:trims/entity/humanoid/spire_quartz	x=340	y=584	w=64	h=32
minecraft:trims/entity/humanoid/spire_redstone	x=408	y=584	w=64	h=32
minecraft:trims/entity/humanoid/spire_resin	x=476	y=584	w=64	h=32
minecraft:trims/entity/humanoid/spire_trim_palette	x=544	y=584	w=64	h=32
minecraft:trims/entity/humanoid/tide_amethyst	x=612	y=584	w=64	h=32
minecraft:trims/entity/humanoid/tide_copper	x=680	y=584	w=64	h=32
minecraft:trims/entity/humanoid/tide_copper_darker	x=748	y=584	w=64	h=32
minecraft:trims/entity/humanoid/tide_diamond	x=816	y=584	w=64	h=32
minecraft:trims/entity/humanoid/tide_diamond_darker	x=884	y=584	w=64	h=32
minecraft:trims/entity/humanoid/tide_emerald	x=952	y=584	w=64	h=32
minecraft:trims/entity/humanoid/tide_gold	x=0	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_gold_darker	x=68	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_iron	x=136	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_iron_darker	x=204	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_lapis	x=272	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_netherite	x=340	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_netherite_darker	x=408	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_quartz	x=476	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_redstone	x=544	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_resin	x=612	y=620	w=64	h=32
minecraft:trims/entity/humanoid/tide_trim_palette	x=680	y=620	w=64	h=32
minecraft:trims/entity/humanoid/vex_amethyst	x=748	y=620	w=64	h=32
minecraft:trims/entity/humanoid/vex_copper	x=816	y=620	w=64	h=32
minecraft:trims/entity/humanoid/vex_copper_darker	x=884	y=620	w=64	h=32
minecraft:trims/entity/humanoid/vex_diamond	x=952	y=620	w=64	h=32
minecraft:trims/entity/humanoid/vex_diamond_darker	x=0	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_emerald	x=68	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_gold	x=136	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_gold_darker	x=204	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_iron	x=272	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_iron_darker	x=340	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_lapis	x=408	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_netherite	x=476	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_netherite_darker	x=544	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_quartz	x=612	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_redstone	x=680	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_resin	x=748	y=656	w=64	h=32
minecraft:trims/entity/humanoid/vex_trim_palette	x=816	y=656	w=64	h=32
minecraft:trims/entity/humanoid/ward_amethyst	x=884	y=656	w=64	h=32
minecraft:trims/entity/humanoid/ward_copper	x=952	y=656	w=64	h=32
minecraft:trims/entity/humanoid/ward_copper_darker	x=0	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_diamond	x=68	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_diamond_darker	x=136	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_emerald	x=204	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_gold	x=272	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_gold_darker	x=340	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_iron	x=408	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_iron_darker	x=476	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_lapis	x=544	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_netherite	x=612	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_netherite_darker	x=680	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_quartz	x=748	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_redstone	x=816	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_resin	x=884	y=692	w=64	h=32
minecraft:trims/entity/humanoid/ward_trim_palette	x=952	y=692	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_amethyst	x=0	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_copper	x=68	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_copper_darker	x=136	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_diamond	x=204	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_diamond_darker	x=272	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_emerald	x=340	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_gold	x=408	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_gold_darker	x=476	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_iron	x=544	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_iron_darker	x=612	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_lapis	x=680	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_netherite	x=748	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_netherite_darker	x=816	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_quartz	x=884	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_redstone	x=952	y=728	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_resin	x=0	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_trim_palette	x=68	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_amethyst	x=136	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_copper	x=204	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_copper_darker	x=272	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_diamond	x=340	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_diamond_darker	x=408	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_emerald	x=476	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_gold	x=544	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_gold_darker	x=612	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_iron	x=680	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_iron_darker	x=748	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_lapis	x=816	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_netherite	x=884	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_netherite_darker	x=952	y=764	w=64	h=32
minecraft:trims/entity/humanoid/wild_quartz	x=0	y=800	w=64	h=32
minecraft:trims/entity/humanoid/wild_redstone	x=68	y=800	w=64	h=32
minecraft:trims/entity/humanoid/wild_resin	x=136	y=800	w=64	h=32
minecraft:trims/entity/humanoid/wild_trim_palette	x=204	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_amethyst	x=272	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_copper	x=340	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_copper_darker	x=408	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_diamond	x=476	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_diamond_darker	x=544	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_emerald	x=612	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_gold	x=680	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_gold_darker	x=748	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_iron	x=816	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_iron_darker	x=884	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_lapis	x=952	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_netherite	x=0	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_netherite_darker	x=68	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_quartz	x=136	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_redstone	x=204	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_resin	x=272	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_trim_palette	x=340	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_amethyst	x=408	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_copper	x=476	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_copper_darker	x=544	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_diamond	x=612	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_diamond_darker	x=680	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_emerald	x=748	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_gold	x=816	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_gold_darker	x=884	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_iron	x=952	y=836	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_iron_darker	x=0	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_lapis	x=68	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_netherite	x=136	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_netherite_darker	x=204	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_quartz	x=272	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_redstone	x=340	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_resin	x=408	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_trim_palette	x=476	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_amethyst	x=544	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_copper	x=612	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_copper_darker	x=680	y=872	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_diamond	x=748	y=872	w=64	h=32
